Duration,Frequency,Category
1,1,Li-ion 40%+
1,2,Li-ion 40%+
1,3,Li-ion 40%+
1,4,Li-ion 40%+
1,5,Li-ion 40%+
1,6,Li-ion 40%+
1,7,Li-ion 40%+
1,9,Li-ion 40%+
1,10,Li-ion 40%+
1,12,Li-ion 40%+
1,15,Li-ion 40%+
1,17,Li-ion 40%+
1,20,Li-ion 40%+
1,24,Li-ion 40%+
1,29,Li-ion 40%+
1,34,Li-ion 40%+
1,40,Li-ion 40%+
1,47,Li-ion 40%+
1,56,Li-ion 40%+
1,66,Li-ion 40%+
1,78,Li-ion 40%+
1,93,Li-ion 40%+
1,109,Li-ion 40%+
1,129,Li-ion 40%+
1,153,Li-ion 40%+
1,181,Li-ion 40%+
1,214,Li-ion 40%+
1,253,Li-ion 40%+
1,299,Li-ion 40%+
1,354,Li-ion 40%+
1,418,Li-ion 40%+
1,495,Li-ion 40%+
1,585,Li-ion 40%+
1,692,Li-ion 40%+
1,818,Li-ion 40%+
1,968,Li-ion 30%
1,1144,Li-ion 20%
1,1353,Li-ion 20%
1,1600,Li-ion 10%
2,1,Li-ion 40%+
2,2,Li-ion 40%+
2,3,Li-ion 40%+
2,4,Li-ion 40%+
2,5,Li-ion 40%+
2,6,Li-ion 40%+
2,7,Li-ion 40%+
2,9,Li-ion 40%+
2,10,Li-ion 40%+
2,12,Li-ion 40%+
2,15,Li-ion 40%+
2,17,Li-ion 40%+
2,20,Li-ion 40%+
2,24,Li-ion 40%+
2,29,Li-ion 40%+
2,34,Li-ion 40%+
2,40,Li-ion 40%+
2,47,Li-ion 40%+
2,56,Li-ion 40%+
2,66,Li-ion 40%+
2,78,Li-ion 40%+
2,93,Li-ion 40%+
2,109,Li-ion 40%+
2,129,Li-ion 40%+
2,153,Li-ion 40%+
2,181,Li-ion 40%+
2,214,Li-ion 40%+
2,253,Li-ion 40%+
2,299,Li-ion 40%+
2,354,Li-ion 40%+
2,418,Li-ion 40%+
2,495,Li-ion 40%+
2,585,Li-ion 30%
2,692,Li-ion 30%
2,818,Li-ion 20%
2,968,Li-ion 10%
2,1144,Li-ion 10%
2,1353,Li-ion 5%
2,1600,Li-ion 5%
3,1,Li-ion 20%
3,2,Li-ion 20%
3,3,Li-ion 20%
3,4,Li-ion 20%
3,5,Li-ion 20%
3,6,Li-ion 20%
3,7,Li-ion 20%
3,9,Li-ion 20%
3,10,Li-ion 20%
3,12,Li-ion 20%
3,15,Li-ion 20%
3,17,Li-ion 20%
3,20,Li-ion 20%
3,24,Li-ion 20%
3,29,Li-ion 20%
3,34,Li-ion 20%
3,40,Li-ion 20%
3,47,Li-ion 20%
3,56,Li-ion 20%
3,66,Li-ion 20%
3,78,Li-ion 20%
3,93,Li-ion 20%
3,109,Li-ion 20%
3,129,Li-ion 20%
3,153,Li-ion 20%
3,181,Li-ion 20%
3,214,Li-ion 20%
3,253,Li-ion 20%
3,299,Li-ion 20%
3,354,Li-ion 20%
3,418,Li-ion 20%
3,495,Li-ion 10%
3,585,Li-ion 10%
3,692,Li-ion 5%
3,818,Li-ion < 5%
3,968,CAES < 5%
3,1144,CAES 5%
3,1353,CAES 10%
4,1,Li-ion 10%
4,2,Li-ion 10%
4,3,Li-ion 10%
4,4,Li-ion 10%
4,5,Li-ion 10%
4,6,Li-ion 10%
4,7,Li-ion 10%
4,9,Li-ion 10%
4,10,Li-ion 10%
4,12,Li-ion 10%
4,15,Li-ion 10%
4,17,Li-ion 10%
4,20,Li-ion 10%
4,24,Li-ion 10%
4,29,Li-ion 10%
4,34,Li-ion 10%
4,40,Li-ion 10%
4,47,Li-ion 10%
4,56,Li-ion 10%
4,66,Li-ion 10%
4,78,Li-ion 10%
4,93,Li-ion 10%
4,109,Li-ion 10%
4,129,Li-ion 10%
4,153,Li-ion 10%
4,181,Li-ion 10%
4,214,Li-ion 10%
4,253,Li-ion 10%
4,299,Li-ion 10%
4,354,Li-ion 10%
4,418,Li-ion 10%
4,495,Li-ion 5%
4,585,Li-ion < 5%
4,692,CAES < 5%
4,818,CAES 5%
4,968,CAES 10%
5,1,on par
5,2,on par
5,3,on par
5,4,on par
5,5,on par
5,6,on par
5,7,on par
5,9,on par
5,10,on par
5,12,on par
5,15,on par
5,17,on par
5,20,on par
